tic,score,vol20,off_lo60,mom20,volsurge,liq,px,r_hari,ara_60h
WIFI,0.3649870801033592,0.028753001420058863,0.1501677048832737,-0.06432878060785041,0.3326190468895901,50836864750.0,1930.0,-0.005154639175257714,0
PJHB,0.3649870801033592,0.02480594093058929,0.09319699205847232,-0.015253813453363074,0.4095558349550627,430327650.0,176.0,-0.005649717514124242,0
ZONE,0.3624031007751938,0.02024693378094537,0.3705181946766105,-0.09740259740259705,0.30624200110293737,48053500.0,695.0,-0.027972027972028024,3
DGWG,0.36046511627906974,0.019127661518277782,0.09648490671791121,-0.06595730168474223,0.9440290188119655,3442346300.0,328.0,0.0,0
BGTG,0.35981912144702843,0.021682020769276368,0.05958595859586002,-0.02702702702702664,0.720088934002047,678885450.0,116.0,-0.016949152542372836,0
GMTD,0.3594961240310077,0.0455888762275126,0.018050541516245522,-0.03719251112417121,0.36304598033731345,38880750.0,1220.0,-0.02008032128514059,0
TOBA,0.35917312661498707,0.030910372750310715,0.20847347500382152,-0.15369106699751867,0.28539566223788265,8793854750.0,510.0,-0.04672897196261683,0
KRYA,0.35723514211886304,0.02282272053396157,0.14674019607843092,-0.0889246323529409,0.5984596975247795,1970359750.0,65.0,-0.015151515151515138,0
IOTF,0.356266149870801,0.036276544830347784,0.19972946443534645,-0.15448245025709806,0.15403659481910276,2541712250.0,62.0,-0.015873015873015928,0
ADMR,0.3556201550387597,0.02603753889197502,0.1003058948486466,-0.08872448979591796,0.6387596273458657,60936154750.0,1590.0,0.01273885350318471,0
AMAG,0.35497416020671835,0.0028411798691642784,0.01047120418848202,-0.010256410256410109,2.850986302340132,25413100.0,386.0,-0.005154639175257714,0
HMSP,0.35465116279069764,0.021273991294567005,0.008302676821829058,-0.14488992303561798,2.0771314397388836,9293331000.0,650.0,0.0,0
MGRO,0.35432816537467704,0.009960289852736068,0.02285067873303137,0.00735294117647034,1.1582251773529642,2641131500.0,685.0,0.0,0
MCOR,0.353359173126615,0.013983962181626257,0.047321428571429625,-0.028571428571427693,1.3102723777026921,228124400.0,68.0,-0.01449275362318836,0
MTDL,0.35319767441860467,0.013274535482667394,0.02226712467165104,-0.017821782178217838,1.3953867253499974,1181937000.0,496.0,-0.017821782178217838,0
YOII,0.3530361757105943,0.0207812152784899,0.012499999999999956,-0.07030129124820628,1.3715234921795285,273039800.0,81.0,-0.04705882352941182,0
DVLA,0.3527131782945736,0.0035487900973193596,0.043072097850666013,-1.001442076609127e-05,1.420234384693183,66493250.0,1585.0,0.0,0
BCIP,0.352390180878553,0.01894260533563465,0.01902810304449587,-0.048387096774193505,1.2683073155376916,361371250.0,59.0,-0.048387096774193505,0
CARE,0.3520671834625323,0.022234930957349134,0.02010050251256268,-0.05976967936167055,1.0370465348438918,109187000.0,406.0,0.00995024875621886,0
GGRM,0.351421188630491,0.019094646729747814,0.07096878286531338,-0.16817997905559745,1.5163513600543592,20088581250.0,17900.0,0.02285714285714291,0
MAIN,0.35125968992248063,0.01854206990283773,0.05025726935503183,-0.015037593984962183,0.7662076275230082,982396250.0,665.0,-0.007462686567164201,0
ITIC,0.35045219638242897,0.014599282100394177,0.10214388785817308,-0.09741709183673486,1.3890884392468974,70965100.0,204.0,-0.04672897196261683,0
BAYU,0.35012919896640826,0.013963379277177479,0.12213917953828268,0.060326428123038456,0.24490664359934006,215022750.0,1330.0,-0.0037453183520599342,0
JGLE,0.34980620155038755,0.031446419153337846,0.20521739130434757,-0.322911577918906,0.3173282189909167,39138456200.0,72.0,-0.013698630136986356,1
DATA,0.34851421188630494,0.02508140558400328,0.01812688821752273,-0.10093814130753431,1.103418583087585,3057750750.0,1685.0,0.005970149253731405,0
AGRO,0.34851421188630494,0.015093282568301662,0.06781937597658949,-0.03359992645706966,1.0545642375952813,757355950.0,145.0,0.0,0
PSAT,0.3472222222222222,0.009714459383245779,0.11752206603465187,-0.03370786516853963,1.0751164991024926,56545500.0,860.0,0.0,0
IPOL,0.3462532299741602,0.013747759176744456,0.13782457381015556,0.03579685880570849,0.24615804831669297,95921300.0,116.0,-0.008547008547008517,0
INDF,0.34593023255813954,0.01405477378022776,0.04022630615406175,-0.0822558922558928,2.0360753801168574,38120596250.0,7025.0,-0.020905923344947785,0
MERI,0.3456072351421189,0.016360496113587204,0.20828321188201504,-0.03278688524590179,0.40293859054107445,394726650.0,118.0,-0.008403361344537785,0
RLCO,0.34431524547803616,0.01798999619650471,0.2695646830962386,-0.11637349100763783,0.47495754561618386,1753352500.0,4280.0,-0.01382488479262678,0
HOKI,0.3412467700258398,0.020443555090120438,0.0,-0.09090909090909127,1.8359578834120283,570335850.0,50.0,0.0,0
BNII,0.3410852713178295,0.0059035325524622135,0.043829708975335,-0.01546391752577303,1.5725001180274958,104848450.0,193.0,-0.005154639175257714,0
SSIA,0.34108527131782945,0.026556115628291285,0.07750561725003657,-0.03882955738008509,0.4020843623372375,37409762500.0,1730.0,0.0028985507246377384,0
PNBN,0.3409237726098191,0.01170093029624385,0.0,-0.06068650450672919,12.221675084743755,1498709250.0,850.0,-0.039548022598870025,0
ANJT,0.34076227390180874,0.015022289985230608,0.13334330426275698,0.03966545722895254,0.07493069576953651,161335750.0,1605.0,0.009433962264151052,0
MEGA,0.33882428940568476,0.00399514333405405,0.007712082262210762,-0.002525252525252153,1.7650600520555677,71750250.0,1960.0,0.002557544757033181,0
